Dropped_group,MAE,Delta_MAE
None (baseline),35.97079214429408,0.0
Burden_fractions,35.81987428383545,-0.15091786045862676
Flux,32.87117154685113,-3.09962059744295
Interactions,36.22858799964275,0.2577958553486681
Shift,35.12662234655406,-0.8441697977400224
Charge_size,36.36031725662177,0.38952511232768927
OXY_CPC,37.67402947148035,1.7032373271862724
