MAE,RMSE,R2,MAPE,Bias,Subset,N,Model,Temporal_split
35.97079214429408,105.73969208081562,-0.13705178856032152,62.71454059373956,6.976355212279204,All_heats,2552,LightGBM_LeakageFree_A,Yes
25.981362402197046,42.12608870877092,-27.04256589320117,62.427600179003626,17.701826140638747,TTT_lt_120,2509,LightGBM_LeakageFree_A,Yes
25.817385000237305,41.71369475014254,-33.689939911738534,62.406104091306325,17.776765026510766,TTT_lt_90,2499,LightGBM_LeakageFree_A,Yes
25.253122076073435,40.40502526840395,-53.65559872342005,62.2727566475236,17.72375913835824,TTT_le_60,2436,LightGBM_LeakageFree_A,Yes
37.642943593895005,106.3914407905752,-0.15111189972100858,66.91331561347778,8.364528060761893,All_heats,2552,LightGBM_DatasetB,Yes
27.70089625951349,44.4807990749478,-30.265158462482873,66.6876783280361,18.968345288920315,TTT_lt_120,2509,LightGBM_DatasetB,Yes
27.563149554221805,44.3237998516218,-38.16699028505684,66.70552818271447,19.09001627695168,TTT_lt_90,2499,LightGBM_DatasetB,Yes
26.924258635103886,42.59608565859426,-59.74398423412892,66.5471505607815,18.99489382226974,TTT_le_60,2436,LightGBM_DatasetB,Yes
14.912016704285525,99.495483542834,-0.006725100453750521,10.674715482868585,-11.233004700541995,All_heats,2552,Phase19_Production_Leaky,Yes
3.9918944797715032,6.627377717803529,0.30593695749122296,9.337806219393974,-0.24983045683268731,TTT_lt_120,2509,Phase19_Production_Leaky,Yes
3.8057158522883237,5.803367819868862,0.3285612146490612,9.171981864881756,-0.0486775835594359,TTT_lt_90,2499,Phase19_Production_Leaky,Yes
3.3146910547017696,4.444889787785246,0.3385669605198386,8.57013097892221,0.5395119968390719,TTT_le_60,2436,Phase19_Production_Leaky,Yes
