Dimension,Level,N_total,N_delay_heats,Delay_rate_pct,Vs_normal_baseline_pct,Enrichment_ratio,Normal_mean,Delay_mean,MW_pvalue,Significant_5pct
HM,mid,10672.0,457.0,4.2822338830584705,5.134033547577991,0.8340876317566408,,,,
HM,high,1350.0,132.0,9.777777777777779,5.134033547577991,1.904502120441052,,,,
HM,low,685.0,52.0,7.591240875912408,5.134033547577991,1.478611467097565,,,,
HM,vhigh,51.0,14.0,27.450980392156865,5.134033547577991,5.346864241879959,,,,
DRI,high,4772.0,172.0,3.604358759430008,5.134033547577991,0.7020520466077564,,,,
DRI,mid,4226.0,296.0,7.004259346900142,5.134033547577991,1.3642800114160614,,,,
DRI,vhigh,1252.0,59.0,4.712460063897764,5.134033547577991,0.9178864961100408,,,,
DRI,low,2508.0,128.0,5.103668261562999,5.134033547577991,0.9940854913132937,,,,
Bucket,low,7020.0,199.0,2.8347578347578346,5.134033547577991,0.5521502359670298,,,,
Bucket,vhigh,5194.0,428.0,8.240277242972661,5.134033547577991,1.6050298788678659,,,,
Bucket,high,544.0,28.0,5.147058823529411,5.134033547577991,1.002537045352492,,,,
Flux,mid,4754.0,196.0,4.122843920908709,5.134033547577991,0.8030418739382184,,,,
Flux,high,7519.0,412.0,5.47945205479452,5.134033547577991,1.0672801422147862,,,,
Flux,low,140.0,6.0,4.285714285714286,5.134033547577991,0.8347655398037077,,,,
Flux,vhigh,345.0,41.0,11.884057971014492,5.134033547577991,2.314760482354243,,,,
Shift,C,4566.0,230.0,5.037231712658782,5.134033547577991,0.9811450716045915,,,,
Shift,B,3754.0,216.0,5.753862546616942,5.134033547577991,1.1207294407593733,,,,
Shift,A,4438.0,209.0,4.709328526363227,5.134033547577991,0.9172765395319397,,,,
Month,2025-04,876.0,23.0,2.6255707762557075,5.134033547577991,0.511405068144585,,,,
Month,2025-05,916.0,37.0,4.039301310043668,5.134033547577991,0.7867695589852994,,,,
Month,2025-06,1075.0,68.0,6.325581395348837,5.134033547577991,1.232088052547488,,,,
Month,NaT,216.0,15.0,6.944444444444445,5.134033547577991,1.3526293469041561,,,,
Month,2025-07,552.0,54.0,9.782608695652174,5.134033547577991,1.9054430799867244,,,,
Month,2025-08,721.0,41.0,5.6865464632454925,5.134033547577991,1.107617706535664,,,,
Month,2025-09,683.0,56.0,8.199121522693996,5.134033547577991,1.5970136242218322,,,,
Month,2025-10,932.0,37.0,3.969957081545064,5.134033547577991,0.7732627854404874,,,,
Month,2025-11,807.0,30.0,3.717472118959108,5.134033547577991,0.7240841113538977,,,,
Month,2025-12,645.0,84.0,13.023255813953488,5.134033547577991,2.536651872891887,,,,
Month,2026-01,917.0,45.0,4.907306434023991,5.134033547577991,0.9558384043553906,,,,
Month,2026-02,885.0,22.0,2.4858757062146895,5.134033547577991,0.48419545434941996,,,,
Month,2026-03,861.0,29.0,3.368176538908246,5.134033547577991,0.6560487982197162,,,,
Month,2026-04,1002.0,41.0,4.091816367265469,5.134033547577991,0.796998369672868,,,,
Month,2026-05,958.0,43.0,4.4885177453027145,5.134033547577991,0.8742673190010997,,,,
Month,2026-06,712.0,30.0,4.213483146067416,5.134033547577991,0.8206964576721846,,,,
OXY,mid,10177.0,377.0,3.70443156136386,5.134033547577991,0.7215440894638188,,,,
OXY,high,2204.0,242.0,10.980036297640654,5.134033547577991,2.138676382981671,,,,
OXY,low,295.0,9.0,3.050847457627119,5.134033547577991,0.59423987579247,,,,
OXY,vhigh,82.0,27.0,32.926829268292686,5.134033547577991,6.413442561906535,,,,
Charge_TC,high,5886.0,274.0,4.655113829425757,5.134033547577991,0.9067166753559358,,,,
Charge_TC,mid,3644.0,115.0,3.1558726673984636,5.134033547577991,0.614696541842284,,,,
Charge_TC,vhigh,1023.0,192.0,18.7683284457478,5.134033547577991,3.655669226119854,,,,
Charge_TC,low,2205.0,74.0,3.3560090702947845,5.134033547577991,0.6536788354018452,,,,
TEST_HM,delay_vs_normal,,,,,,58.45556316615715,59.91595419847328,2.0343879353342336e-10,True
TEST_DRI,delay_vs_normal,,,,,,51.54836404197307,49.89699236641221,5.691910437640357e-05,True
TEST_Bucket,delay_vs_normal,,,,,,9.18476658679666,14.936473282442748,1.3804222524679023e-37,True
TEST_TOTAL_FLUX,delay_vs_normal,,,,,,12.527580765099563,13.060564885496182,1.7245834867215802e-10,True
TEST_OXY,delay_vs_normal,,,,,,3662.5967941832605,3961.1221374045804,1.6016167928755118e-43,True
TEST_T C,delay_vs_normal,,,,,,120.4379617450219,125.83064122137405,2.5299160173368397e-46,True
TEST_CPC,delay_vs_normal,,,,,,572.1523109972734,719.2824427480916,3.495924269068355e-31,True
