Schema,Model,Actual,Predicted,Count
3class_phase16,LightGBM,SHUTDOWN,NORMAL,35
3class_phase16,LightGBM,SHUTDOWN,DELAY,2
3class_phase16,LightGBM,SHUTDOWN,SHUTDOWN,0
3class_phase16,CatBoost,NORMAL,NORMAL,2318
3class_phase16,CatBoost,NORMAL,DELAY,93
3class_phase16,CatBoost,NORMAL,SHUTDOWN,25
3class_phase16,CatBoost,DELAY,NORMAL,52
3class_phase16,CatBoost,DELAY,DELAY,26
3class_phase16,CatBoost,DELAY,SHUTDOWN,1
3class_phase16,CatBoost,SHUTDOWN,NORMAL,30
3class_phase16,CatBoost,SHUTDOWN,DELAY,3
3class_phase16,CatBoost,SHUTDOWN,SHUTDOWN,4
3class_phase16,XGBoost,NORMAL,NORMAL,2430
3class_phase16,XGBoost,NORMAL,DELAY,6
3class_phase16,XGBoost,NORMAL,SHUTDOWN,0
3class_phase16,XGBoost,DELAY,NORMAL,73
3class_phase16,XGBoost,DELAY,DELAY,6
3class_phase16,XGBoost,DELAY,SHUTDOWN,0
3class_phase16,XGBoost,SHUTDOWN,NORMAL,35
3class_phase16,XGBoost,SHUTDOWN,DELAY,1
3class_phase16,XGBoost,SHUTDOWN,SHUTDOWN,1
3class_phase16,RandomForest,NORMAL,NORMAL,2419
3class_phase16,RandomForest,NORMAL,DELAY,14
3class_phase16,RandomForest,NORMAL,SHUTDOWN,3
3class_phase16,RandomForest,DELAY,NORMAL,70
3class_phase16,RandomForest,DELAY,DELAY,9
3class_phase16,RandomForest,DELAY,SHUTDOWN,0
3class_phase16,RandomForest,SHUTDOWN,NORMAL,37
3class_phase16,RandomForest,SHUTDOWN,DELAY,0
3class_phase16,RandomForest,SHUTDOWN,SHUTDOWN,0
3class_phase16,ExtraTrees,NORMAL,NORMAL,2238
3class_phase16,ExtraTrees,NORMAL,DELAY,90
3class_phase16,ExtraTrees,NORMAL,SHUTDOWN,108
3class_phase16,ExtraTrees,DELAY,NORMAL,59
3class_phase16,ExtraTrees,DELAY,DELAY,19
3class_phase16,ExtraTrees,DELAY,SHUTDOWN,1
3class_phase16,ExtraTrees,SHUTDOWN,NORMAL,32
3class_phase16,ExtraTrees,SHUTDOWN,DELAY,2
3class_phase16,ExtraTrees,SHUTDOWN,SHUTDOWN,3
3class_phase16,BalancedRandomForest,NORMAL,NORMAL,1823
3class_phase16,BalancedRandomForest,NORMAL,DELAY,403
3class_phase16,BalancedRandomForest,NORMAL,SHUTDOWN,210
3class_phase16,BalancedRandomForest,DELAY,NORMAL,23
3class_phase16,BalancedRandomForest,DELAY,DELAY,50
3class_phase16,BalancedRandomForest,DELAY,SHUTDOWN,6
3class_phase16,BalancedRandomForest,SHUTDOWN,NORMAL,21
3class_phase16,BalancedRandomForest,SHUTDOWN,DELAY,9
3class_phase16,BalancedRandomForest,SHUTDOWN,SHUTDOWN,7
2class_normal_vs_abnormal,LightGBM,NORMAL,NORMAL,2375
2class_normal_vs_abnormal,LightGBM,NORMAL,ABNORMAL,61
2class_normal_vs_abnormal,LightGBM,ABNORMAL,NORMAL,90
2class_normal_vs_abnormal,LightGBM,ABNORMAL,ABNORMAL,26
2class_normal_vs_abnormal,CatBoost,NORMAL,NORMAL,2378
2class_normal_vs_abnormal,CatBoost,NORMAL,ABNORMAL,58
2class_normal_vs_abnormal,CatBoost,ABNORMAL,NORMAL,93
2class_normal_vs_abnormal,CatBoost,ABNORMAL,ABNORMAL,23
2class_normal_vs_abnormal,XGBoost,NORMAL,NORMAL,2427
2class_normal_vs_abnormal,XGBoost,NORMAL,ABNORMAL,9
2class_normal_vs_abnormal,XGBoost,ABNORMAL,NORMAL,108
2class_normal_vs_abnormal,XGBoost,ABNORMAL,ABNORMAL,8
2class_normal_vs_abnormal,RandomForest,NORMAL,NORMAL,2408
2class_normal_vs_abnormal,RandomForest,NORMAL,ABNORMAL,28
2class_normal_vs_abnormal,RandomForest,ABNORMAL,NORMAL,98
2class_normal_vs_abnormal,RandomForest,ABNORMAL,ABNORMAL,18
2class_normal_vs_abnormal,ExtraTrees,NORMAL,NORMAL,2303
2class_normal_vs_abnormal,ExtraTrees,NORMAL,ABNORMAL,133
2class_normal_vs_abnormal,ExtraTrees,ABNORMAL,NORMAL,88
2class_normal_vs_abnormal,ExtraTrees,ABNORMAL,ABNORMAL,28
2class_normal_vs_abnormal,BalancedRandomForest,NORMAL,NORMAL,2133
2class_normal_vs_abnormal,BalancedRandomForest,NORMAL,ABNORMAL,303
2class_normal_vs_abnormal,BalancedRandomForest,ABNORMAL,NORMAL,66
2class_normal_vs_abnormal,BalancedRandomForest,ABNORMAL,ABNORMAL,50
2class_delay_detection,LightGBM,NORMAL,NORMAL,2501
