MAE,RMSE,R2,MAPE,Bias,N,Model,Stage,Split
18.546055153171498,24.770250771074256,-0.30654510794576884,23.918136189780974,6.350412174123344,94,LightGBM_dedicated,Long_60_180,Temporal
33.05192673403095,39.58613984033062,-2.3369516220671223,39.174557440859616,-33.05192673403095,94,Normal_model_on_long,Long_60_180,Temporal
248.43532771608002,333.07275001330214,0.08635875285786887,49.16861086388167,176.51673081892795,38,LightGBM_shutdown,Shutdown_gt180,Temporal
557.4894736842105,651.9300830287667,-2.5002538018593397,122.10126923267934,550.9894736842105,38,Median_baseline,Shutdown_gt180,Temporal
