Seed,MAE,RMSE
0,2.988336058738585,4.10062941929266
1,2.988336058738585,4.10062941929266
2,2.988336058738585,4.10062941929266
3,2.988336058738585,4.10062941929266
4,2.988336058738585,4.10062941929266
5,2.988336058738585,4.10062941929266
6,2.988336058738585,4.10062941929266
7,2.988336058738585,4.10062941929266
8,2.988336058738585,4.10062941929266
9,2.988336058738585,4.10062941929266
