Actual,Predicted,Residual
42.0,41.02964068919483,-0.970359310805172
34.0,39.53658240735971,5.53658240735971
38.0,40.08723168576009,2.087231685760088
45.0,47.34347331913665,2.343473319136649
44.0,41.35624163440873,-2.6437583655912675
36.0,38.1099290589229,2.1099290589229014
49.0,53.75493514760394,4.754935147603938
54.0,42.888841457552694,-11.111158542447306
38.0,38.96181879417066,0.9618187941706609
53.0,48.13311687014924,-4.866883129850763
43.0,42.814344576721425,-0.18565542327857543
39.0,42.4919638627188,3.491963862718798
56.0,52.241844699558655,-3.758155300441345
51.0,42.99527554974942,-8.004724450250578
44.0,44.976130182389355,0.9761301823893547
42.0,46.37588175845789,4.3758817584578935
35.0,37.784002520286414,2.784002520286414
45.0,43.086151103801384,-1.9138488961986155
43.0,41.06077253330148,-1.9392274666985188
43.0,45.413022438630286,2.4130224386302856
44.0,42.043851098140294,-1.9561489018597058
39.0,38.979213886621324,-0.02078611337867642
35.0,39.08670856017384,4.0867085601738395
42.0,34.98206330484078,-7.0179366951592215
39.0,41.97016526944553,2.9701652694455305
41.0,39.87726601180923,-1.1227339881907668
59.0,44.444549024944365,-14.555450975055635
35.0,38.974817414340606,3.974817414340606
39.0,37.93222175468589,-1.0677782453141091
46.0,38.414519584806335,-7.585480415193665
43.0,39.28440532192675,-3.715594678073252
40.0,43.77581634738792,3.7758163473879165
38.0,39.30134651024914,1.3013465102491395
41.0,41.8646910946616,0.8646910946616018
45.0,41.40005347273003,-3.599946527269971
38.0,39.91718106627297,1.917181066272967
44.0,42.95813177879295,-1.0418682212070465
47.0,40.51393187768414,-6.4860681223158565
38.0,42.542841906871956,4.542841906871956
37.0,38.70158454841418,1.701584548414182
39.0,43.63843627841739,4.638436278417387
49.0,48.04777732606433,-0.9522226739356725
39.0,42.534483285900635,3.5344832859006345
36.0,39.70395326446449,3.703953264464488
39.0,39.50272611583638,0.5027261158363814
45.0,41.52549640200685,-3.4745035979931487
40.0,38.356965334928226,-1.6430346650717738
42.0,41.23658338878204,-0.7634166112179628
38.0,43.90901741686122,5.909017416861218
40.0,41.2899520659542,1.2899520659542034
40.0,42.14050824540344,2.1405082454034385
44.0,40.95599315571191,-3.0440068442880914
44.0,43.927546517057564,-0.0724534829424357
45.0,43.77435212931348,-1.2256478706865224
42.0,42.31540682795821,0.3154068279582134
38.0,38.377515875662645,0.37751587566264533
40.0,42.8544154871129,2.8544154871129024
37.0,39.21453235865241,2.214532358652413
40.0,43.155468172258225,3.1554681722582245
52.0,38.773564908622156,-13.226435091377844
37.0,37.31570851789026,0.31570851789025767
45.0,46.0980988597335,1.098098859733497
45.0,44.884906447999825,-0.11509355200017524
36.0,41.83457050377724,5.834570503777243
39.0,39.481320524690034,0.48132052469003384
48.0,45.0127316664227,-2.9872683335772976
44.0,42.31175961822509,-1.6882403817749108
