Model,Train_Time_s,Train_MAE,Train_RMSE,Train_R2,Train_MAPE,Train_Median_AE,Train_Explained_Variance,Train_Max_Error,Train_Bias,Validation_MAE,Validation_RMSE,Validation_R2,Validation_MAPE,Validation_Median_AE,Validation_Explained_Variance,Validation_Max_Error,Validation_Bias,Test_MAE,Test_RMSE,Test_R2,Test_MAPE,Test_Median_AE,Test_Explained_Variance,Test_Max_Error,Test_Bias,CV5_MAE_mean,CV5_MAE_std,RKFold_MAE_mean,RKFold_MAE_std,MAE_improvement_vs_baseline_pct
StackingRegressor,22.202903599994897,3.001612771475106,4.104530823323588,0.4360554793011715,7.388636109057078,2.332666790457246,0.4360583150447277,35.89547104212849,0.009204046574476517,3.0860923414177988,4.18941311391465,0.38567314828737764,7.469725194668437,2.3877516155253886,0.38635990508783336,26.233611628922603,0.1400731589211196,3.060975957655908,4.241878878145804,0.36596515421960807,7.708784795660928,2.401205493554869,0.3660123727897304,43.504054687128,-0.036606492297770556,3.151495128440619,0.0447865801581957,3.1527957739255097,0.047150867144951904,25.973183484293966
VotingRegressor,2.942392799996014,3.006442538560512,4.111899810685043,0.43402872854639263,7.404046021284715,2.338823662664076,0.4340287753867509,35.90838232183753,-0.001182920165890216,3.089621654532266,4.193465697338365,0.38448404857469654,7.47842653549611,2.399939593107142,0.3850328413938834,26.28215794391197,0.125215372173705,3.064177551178946,4.249020166634664,0.36382853635814416,7.722594854063207,2.4147557014455927,0.36391082101942474,43.9520946208622,-0.04832380721226315,3.1555268289016007,0.04188503458030652,3.1556938592022155,0.045505778726584505,25.89575596458574
CatBoost,5.37781890000042,3.0076574623831585,4.109153987929186,0.434784358784444,7.4030853380974,2.3457733790635658,0.43478447297888034,36.06190718244674,-0.0018470038607564185,3.071463266389351,4.18078571888503,0.38820074965302365,7.43523921257714,2.3752503475280378,0.38871851912373745,26.342369364038944,0.12162466537003876,3.0651136332774485,4.247532990053622,0.3642737842956013,7.719976038203804,2.403695164520073,0.3643646519359649,43.621512130472794,-0.050781593586788625,3.1519686292270204,0.050447094655316035,3.1562071664980667,0.04981941993922123,25.87311770191786
XGBoost,5.614044699999795,3.0210274060854534,4.1302959883870916,0.42895321651042106,7.434930070452637,2.347759246826172,0.4289534525887905,35.69989013671875,-0.0026556658513935414,3.1050230964656707,4.208404361644301,0.38009084982392105,7.513428421290569,2.425495147705078,0.3806732644487526,26.18410873413086,0.1289940191533803,3.0714964569230454,4.245366625726335,0.3649220963342674,7.730071318173816,2.4162254333496094,0.36500170265849086,42.957000732421875,-0.047530839582062716,3.1635926879670913,0.041576513606125055,3.161610355091054,0.04777426848190582,25.718755132135847
LightGBM,2.2421438000019407,3.002138228423994,4.107419004568928,0.43526155321937654,7.3952514788697545,2.327144071665714,0.43526155321937654,35.90016854180514,1.7179159333155246e-10,3.102207717057068,4.207366472816552,0.38039657968622465,7.508783363409989,2.4237651298283183,0.381005393188799,26.299000886097538,0.13188505250382337,3.0718175615153136,4.26236430943725,0.3598264404738365,7.742625394720381,2.4023471916740746,0.35990528129727284,44.34842140724497,-0.04730175735405796,3.1646170718092894,0.039867646083233926,3.164312506365467,0.04475086267402314,25.710989520428008
HistGradientBoosting,6.205739000004542,3.0196538149269556,4.130606702194627,0.4288672958912656,7.441432674044754,2.3749052593296227,0.4288672976468533,35.9715634263795,-0.00022901112320240774,3.104652844792525,4.208776590077989,0.37998118449860707,7.5130288455049445,2.4058380784248428,0.38047151232011567,26.30315279138054,0.11835775166757767,3.079286458501853,4.272181149184881,0.35687422061597307,7.769977849603843,2.4225140946825405,0.3569543308514206,44.88144421330915,-0.04768103832614317,3.16664064525282,0.037535868895970666,3.166279101756665,0.04224454568920591,25.530361291246916
ExtraTrees,5.670981100003701,1.8304944116291453,2.616462323922445,0.770840265976315,4.5576721292418485,1.3728158862931892,0.770840265976315,25.072497191436284,3.486200640269052e-16,3.1213837206080814,4.211174983249686,0.37927434128046567,7.548438404707623,2.500503882718178,0.3798939999291553,26.267619784880694,0.13305453956577226,3.0798487105433208,4.259229959892651,0.360767603548778,7.743154555487933,2.393184505536645,0.3610190983027538,41.85060993533217,-0.084482384911493,3.203117474214509,0.046337671995660405,3.204960072869502,0.04808822332428934,25.516763755923193
RandomForest,12.692088399999193,2.647709376402495,3.636288654880647,0.5573850889802869,6.551298476242377,2.0911440331991358,0.5573860391473219,32.48022063996362,-0.005327768062832105,3.1015953771792018,4.187088533913905,0.38635470232988933,7.498017167523141,2.4614225967317793,0.38706076248738897,26.36400892368094,0.14202810457859677,3.080503745036263,4.257004427503015,0.36143545230986074,7.736913100482054,2.4031863926044394,0.36161238767779413,41.4080034881059,-0.07086128554701335,3.192983919497722,0.051807223822584854,3.190719698242679,0.04945270364781025,25.500922364520157
ElasticNet,0.10195240000030026,3.2643520370136256,4.435115517395257,0.34155544504264634,8.02150784256484,2.5733967634320507,0.34155544504264634,36.97198682296153,-7.944867774928945e-15,3.2004921743050816,4.344726384304035,0.33927919030064424,7.749145295913215,2.548865154084652,0.33988949669202495,27.52663560893768,0.132046653031596,3.190079755037477,4.359396596560339,0.33034770548434655,7.9838005985100295,2.5406954384859333,0.3305531562799553,41.038666303060694,-0.0763581879924912,3.2609825914517883,0.03460939311246818,3.2634096023283967,0.047960048662312856,22.85092991142855
Lasso,0.22862280000117607,3.264791961499097,4.43525592259395,0.3415137548086209,8.022719011310688,2.5733062471339494,0.3415137548086207,36.97615453528326,-7.93018903539097e-15,3.2002766691462474,4.343492532937443,0.33965441094462523,7.748743692526877,2.5543841220538894,0.3402603458760559,27.21830246548771,0.13157289589132604,3.1900974467520147,4.358810251510761,0.330527831744172,7.984050591819976,2.54454755896257,0.3307330320552221,41.047007317896885,-0.07631162604009321,3.2612205163324184,0.03481982417062656,3.2636669559599314,0.0480612402333907,22.850502053998746
