Regime,N,MAE,Bias,Residual_Std
Short (<35 min),222,3.930900463775927,3.929758799529879,3.6121697777744792
Normal (35-60 min),2199,2.973152746942564,-0.4370308191671376,4.091795693980489
Long (60-120 min),0,,,
Shutdown (>120 min),0,,,
