Heat,Rank,Predicted_TTT,Improvement_min,Confidence,Similarity_pct,Stability,Rules_Satisfied,Rules_Violated,HM,DRI,Bucket,OXY_Program,CPC_Program,POWER_Fixed_kWh
4618213,1,43.44361530011183,0.10324434624743617,Medium,43.5,76.5,5,0,64.06703712473951,40.09437604426562,27.70549160297262,3545.8310412731244,687.8694302434502,36607.0
4618213,2,43.75646749203548,-0.20960784567621715,Medium,42.1,76.5,5,0,63.2907147812825,40.466504261261825,28.135790653078736,3393.222735149684,676.7231712384338,36607.0
4618213,3,43.60074727182125,-0.053887625461982225,Medium,34.8,76.5,7,0,64.550736329523,38.79627468457673,26.742822006573384,3267.51241892152,652.561545542501,36607.0
4618213,4,43.617373815312426,-0.0705141689531601,Medium,30.5,76.5,7,0,64.64290050476154,40.35405152877983,26.93494264580638,3194.778336647652,707.819799958242,36607.0
4618213,5,43.67497941482928,-0.1281197684700146,Medium,27.0,76.5,6,0,64.85738225671678,39.046552664430976,27.933853092065647,3237.7951922560055,613.1455114750314,36607.0
4618212,1,41.37519521282734,0.5417999415717745,High,46.3,53.2,6,0,61.033488835367734,42.61260210618054,13.715156106343827,2977.5613195296446,801.5935162950113,34294.0
4618212,2,41.19485044108107,0.7221447133180448,High,45.2,53.2,7,0,57.91453264207104,44.431006875767494,15.357921428505632,3223.375383022706,887.1751756488295,34294.0
4618212,3,41.28698702054927,0.6300081338498487,High,54.1,53.2,7,0,59.26976076285146,43.19327056079643,14.52826137433087,3194.2129336570997,710.02742940018,34294.0
4618212,4,41.37979247098166,0.5372026834174548,High,40.2,53.2,7,0,60.64723305127827,41.49487137796076,15.277306642448067,3010.0856352072647,864.8389029269111,34294.0
4618212,5,41.61515139841753,0.3018437559815865,Medium,48.6,53.2,7,0,58.33954525969933,45.0512074407753,15.216545708526887,2990.3618396638685,755.6916979984842,34294.0
4618211,1,45.2153403436674,1.959836671819808,High,56.9,82.8,7,0,56.905349779897264,40.095066825420595,16.08235938166614,3820.388268842733,438.28207427138597,36796.0
4618211,2,45.14484424339948,2.030332772087725,High,50.4,82.8,6,0,55.757358396857896,40.05954726331659,18.41285463918966,3775.436036277586,361.74296033221776,36796.0
4618211,3,45.36379935055536,1.8113776649318467,High,60.3,82.8,6,0,56.26734031823006,40.356026599909704,17.625820576564696,3882.4929931314864,426.1270001152507,36796.0
4618211,4,45.276612577502505,1.898564437984703,High,57.9,82.8,6,0,56.31650528128945,41.41212328545874,17.257421883368917,3722.1115374980454,348.2381287402166,36796.0
4618211,5,45.221611208569335,1.9535658069178723,High,67.0,82.8,7,0,56.62016653782294,41.036059956756105,15.438321062399007,3706.6162667193503,412.1098937104532,36796.0
4618210,1,45.57843147647794,0.9459359507302167,High,38.8,48.1,6,0,48.094233023709194,46.30685533733967,17.84410717784754,3769.233842636854,238.71578427661538,39332.0
4618210,2,45.484404349316385,1.0399630778917697,High,40.5,48.1,6,0,48.50813943010131,47.77135934523909,17.260022523450534,3496.041104504528,238.02629106790877,39332.0
4618210,3,45.62376639112299,0.9006010360851633,High,43.8,48.1,6,0,51.13681204876943,44.496973544965705,16.21845016621166,3510.0439110368525,269.6446024824978,39332.0
4618210,4,45.607384959567966,0.9169824676401888,High,45.4,48.1,7,0,48.898723131733966,47.7742638549558,16.14726001002985,3518.4351870846535,284.2377191909464,39332.0
4618210,5,45.7054035315087,0.8189638956994543,High,45.7,48.1,6,0,51.55593314432273,44.59390055582972,17.485226961340693,3569.886115515794,248.54813213350212,39332.0
4618209,1,43.33221249662132,1.0467364877499037,High,47.4,50.9,6,0,55.84599465672815,65.34906025333346,0.0,3588.8853183061915,335.8291523010162,37974.0
4618209,2,43.81221375678054,0.5667352275906836,High,52.8,50.9,6,0,56.208780060689314,65.28288550410873,0.0,3811.1920709323786,361.95945070275286,37974.0
4618209,3,43.59424206960399,0.7847069147672272,High,52.5,50.9,6,0,56.01332248966441,64.5913339216769,0.0,3755.400323100627,342.5183339702279,37974.0
4618209,4,43.68101728810278,0.6979316962684408,High,56.5,50.9,5,0,57.02876560891281,63.58865264294516,0.0,3637.755509400149,371.1087244966004,37974.0
4618209,5,43.821658609275296,0.5572903750959242,High,49.6,50.9,6,0,53.75547161427353,66.79606899956927,0.0,3766.097439304902,420.67132044807886,37974.0
4618208,1,46.190702887076306,1.7221869535279168,High,41.7,58.2,6,0,59.18950782522286,69.46552173666286,0.0,4255.603525225263,562.3073891466624,38738.0
4618208,2,46.59647396148399,1.3164158791202354,High,35.2,58.2,6,0,59.57258491862693,69.1905558156286,0.0,4407.242572748295,647.6575115739596,38738.0
4618208,3,46.61041042217305,1.3024794184311759,High,32.8,58.2,6,0,59.65090346207092,69.84383376722155,0.0,4387.63480153813,582.8239102026779,38738.0
4618208,4,46.899852679121096,1.0130371614831262,High,36.9,58.2,6,0,59.249047940724644,70.1826450661869,0.0,4418.497212962802,576.8660961621252,38738.0
4618208,5,46.86263780376333,1.0502520368408952,High,33.5,58.2,6,0,61.9780157681033,66.69731997617586,0.0,4398.8238385261375,574.3857120079589,38738.0
4618207,1,44.93644350099312,0.7998166685152412,High,73.3,40.2,6,0,60.88599647173623,57.262083210140865,11.70300776951279,3735.62866400553,637.0111272971956,35869.0
4618207,2,45.040665710688344,0.6955944588200182,High,64.1,40.2,6,0,61.62718096305493,55.57977943039503,12.721355857959487,3870.1557198250002,564.2646615419679,35869.0
4618207,3,45.03689665488673,0.6993635146216306,High,59.2,40.2,7,0,63.4635225539867,54.50733206271858,11.72919794946203,3846.98789974652,611.1845146782192,35869.0
4618207,4,45.29523962192902,0.44102054757934184,High,63.0,40.2,5,0,60.2529548262009,55.33738876377179,13.96074661335237,4018.847518912284,625.7573923946901,35869.0
4618207,5,45.17496498253438,0.561295186973986,High,57.0,40.2,6,0,64.23962440242694,53.02725569996537,12.74328502922463,3891.873209031953,701.8225014302062,35869.0
4618206,1,41.24395144989753,1.7548753321699735,High,72.5,77.8,6,0,57.65303390975235,47.49550912833035,15.876800367292304,3559.2691364889915,561.9836823624041,32918.0
4618206,2,41.323553694732446,1.6752730873350572,High,58.3,77.8,6,0,57.675006326791255,47.491876435398055,15.486765683165098,3686.666530194274,638.1800223370678,32918.0
4618206,3,41.6466670946329,1.3521596874346002,High,70.1,77.8,6,0,58.91711957333892,46.813954385792655,15.014938398027963,3667.304523951666,659.1115577934952,32918.0
4618206,4,41.89919995963098,1.0996268224365267,High,65.3,77.8,5,0,57.655445953683525,47.02114623034084,16.225713319220336,3708.264700409843,625.0272833370642,32918.0
4618206,5,41.68178043719879,1.3170463448687144,High,55.8,77.8,6,0,59.1312718318088,47.12091158173606,14.823030322920221,3635.0052581388695,658.6190082427537,32918.0
4618205,1,41.482940010695074,0.3892742815969257,High,49.0,71.4,7,0,56.070033672761376,48.33675399426034,14.128834067525055,3271.8537643624013,632.8650839912849,34792.0
4618205,2,41.93272722608709,-0.060512933795088486,Medium,49.5,71.4,6,0,56.095264029557335,48.503468945188494,15.424734600293023,3343.7554238976422,648.0493210943846,34792.0
4618205,3,42.0531474017921,-0.18093310950010277,Medium,47.2,71.4,6,0,55.80854323709464,46.69083900305857,16.645451364508624,3277.6122665426083,624.810795920573,34792.0
4618205,4,41.907567378366394,-0.03535308607439447,Medium,47.1,71.4,6,0,56.004975543579576,47.07508202214916,16.390528537562663,3156.1545839066252,515.5590196263269,34792.0
4618205,5,41.95560135477136,-0.08338706247936045,Medium,44.8,71.4,5,0,57.71413845118351,47.161374208677955,14.943047263277506,3143.9321345764542,578.0943446756839,34792.0
