Feature,MI,Spearman,Spearman_p,SHAP_mean_abs,Permutation_MAE_increase,RFE_rank,Boruta_hit_rate,Stability_selection,Is_new,z_MI,z_SHAP_mean_abs,z_Permutation_MAE_increase,z_Boruta_hit_rate,z_Stability_selection,RFE_score,Robustness
LOG_OXYGEN,0.11080105965345055,0.36592019901936546,2.9793370231910195e-158,1.131386134982329,0.08590515853816987,1,1.0,1.0,True,0.9138037195159582,0.999999999999116,0.9999999999889255,0.9999999999989999,0.9999999999989999,1.0,0.9870705579245436
BUCKET_X_CPC,0.10937880411141787,0.380628765487089,4.0677341627956037e-172,0.4556943453191239,0.018110977362097325,2,1.0,0.9,False,0.902074026600777,0.4027752605664011,0.2492194605249352,0.9999999999989999,0.8999999999991,0.5,0.6137059540935127
LOG_SOLID_BURDEN,0.09268574525083473,0.2986124439757409,1.626048119950186e-103,0.2908380964534537,0.012770863593591364,1,0.8333333333333334,1.0,True,0.764402245079826,0.2570635147988084,0.19008085266262764,0.8333333333324999,0.9999999999989999,1.0,0.5919423859938122
SCRAP_CARBON_OXYGEN,0.08460144856772445,0.38318908918696754,1.3230459592485093e-174,0.6003461177214595,0.009023905768895113,3,1.0,1.0,True,0.6977290525868818,0.5306288447050003,0.14858550648139593,0.9999999999989999,0.9999999999989999,0.3333333333333333,0.5908431941697581
HM_X_OXY_NORM,0.04721006175567499,0.1900204317451366,7.221171002964133e-42,0.25659341590841434,0.006159317639069443,1,0.6666666666666666,1.0,False,0.389353045592199,0.22679561643399068,0.11686188383202727,0.6666666666659999,0.9999999999989999,1.0,0.4884742377133687
RECIPE_MAHALANOBIS_L2,0.08947789950296237,0.37759601930670417,3.368059208332623e-169,0.1387978814939142,0.0018092159678192443,1,0.5,1.0,True,0.7379463484917654,0.1226794965946435,0.06868707556961651,0.49999999999949996,0.9999999999989999,1.0,0.4800992415360097
SOLID_BURDEN_COMPACTNESS,0.05110680323182315,0.2675261316418727,1.0688779836036404e-82,0.12394362749379968,0.003494954377761298,1,0.6666666666666666,1.0,True,0.42149043548750764,0.10955024430772786,0.08735563341419676,0.6666666666659999,0.9999999999989999,1.0,0.45808225308253314
DRI_X_LIME,0.06675994989466538,-0.11381585306539618,6.902805327652121e-16,0.16954968299563314,0.01605439908279153,1,0.0,1.0,False,0.5505858041362549,0.1498601385972716,0.22644407002383884,0.0,0.9999999999989999,1.0,0.4153417192742596
DRI_X_HM,0.07637409756947466,-0.20222833646839874,2.6712521182727387e-47,0.16074155100998,0.009540402390000166,1,0.0,1.0,False,0.6298760558061796,0.142074881457115,0.1543054016862287,0.0,0.9999999999989999,1.0,0.41086120907218715
DRI_SQ,0.12125258114645021,-0.20577551305091416,6.029841592212968e-49,0.07873725403990453,0.006170888506139893,1,0.0,0.8,False,0.9999999999917527,0.06959361760347603,0.1169900243548644,0.0,0.7999999999992,1.0,0.41079640927037053
HM_DRI_SCRAP_PRODUCT,0.08356940355787934,0.3021270025055432,4.868440152455304e-106,0.16705460786741705,-0.0016113595819695254,1,0.0,1.0,True,0.6892175223573515,0.14765481271332584,0.030806220428406538,0.0,0.9999999999989999,1.0,0.3964575756173512
BURDEN_ENTROPY,0.08790965092588632,0.3104695217522491,3.5866650705048837e-112,0.14839126531246993,-0.003628462824557458,1,0.0,1.0,True,0.7250126149395785,0.1311588154778443,0.008467992657920101,0.0,0.9999999999989999,1.0,0.3932351946417176
DRI_TO_BUCKET_RATIO,0.09981843034820681,0.38631070942313767,1.1431085402189826e-177,0.043907340542629916,-0.0024404288601534616,5,0.6666666666666666,0.9,False,0.8232272616681188,0.03880844849073291,0.021624767549562038,0.6666666666659999,0.8999999999991,0.2,0.38108258345399726
DRI_OXY_FLUX,0.054822023430746825,-0.08258310342702768,4.974045435645288e-09,0.07782222437135092,0.0005084777929117065,1,0.3333333333333333,0.5,True,0.45213077455299727,0.06878484892560364,0.05428216807287753,0.33333333333299997,0.49999999999949996,1.0,0.3208722620286867
FLUX_SOLID_CARBON,0.02289104953330945,0.2135349648356997,1.177073059672444e-52,0.11107135269846838,0.0034669718592823897,1,0.0,1.0,True,0.18878814221259832,0.09817280702322288,0.08704574353936233,0.0,0.9999999999989999,1.0,0.32027057179530366
CHARGE_DIVERSITY_INDEX,0.08943978428791599,0.31233043333585736,1.442765659342718e-113,0.14854520450559716,0.0018052775050883725,3,0.0,0.9,True,0.7376320028944537,0.13129487794879682,0.06864345941963952,0.0,0.8999999999991,0.3333333333333333,0.3160067356146567
HM_X_LIME,0.020706138309248168,0.06958435992067094,8.431834583917881e-07,0.1212406513218026,0.00023504508409022407,1,0.0,1.0,False,0.17076863942441187,0.10716116060905154,0.05125406222256973,0.0,0.9999999999989999,1.0,0.3126563985101743
LIME_TO_DOLO_RATIO,0.011112938973529829,0.050296971837365416,0.0003738377896907648,0.1340266661221843,0.0041850663269506665,1,0.0,0.9,False,0.09165115388360967,0.11846235513939649,0.09499821589715782,0.0,0.8999999999991,1.0,0.2973629050465728
CHARGE_DEVIATION_FROM_120,0.03742002032911618,0.22584648085678846,7.547182567949666e-59,0.1362508474066874,-0.0017875724935144666,1,0.0,0.7,False,0.30861215468569075,0.12042824566583099,0.02885476644673466,0.0,0.6999999999992998,1.0,0.287169837908439
OXYGEN_PER_TONNE,0.04462474771134861,0.2527469956591188,1.0112039331628222e-73,0.14241535665110294,0.000759418404750208,1,0.16666666666666666,0.4,False,0.3680313217999237,0.12587687991527438,0.057061187225571845,0.16666666666649999,0.3999999999996,1.0,0.28308615569372225
OXY_PER_HM,0.0727943661561925,0.30919643023666593,3.188397849361457e-111,0.07826798319133074,-0.004393107881631719,1,0.0,0.5,False,0.6003531262371257,0.06917884245813566,0.0,0.0,0.49999999999949996,1.0,0.28234767954991347
CPC_X_DRI,0.02178025587799315,0.06982749736558318,7.718711083935885e-07,0.07788134260676154,-0.0033671182101966033,1,0.0,0.9,False,0.17962715244393096,0.0688371018510927,0.0113622299973498,0.0,0.8999999999991,1.0,0.2814257943285835
HM_TO_BUCKET_RATIO,0.09387866288277902,0.377994670292528,1.3982440748164396e-169,0.07266082140641997,-0.0007749496140914506,1,0.0,0.2,False,0.7742405315777738,0.06422283176334896,0.04006896711260417,0.0,0.1999999999998,1.0,0.27020558109987985
HM_SQ,0.003682089529565502,-0.03099582700041533,0.028400126412139615,0.08860332439084759,0.0047667710010367665,1,0.16666666666666666,0.6,False,0.03036710224822238,0.07831395635067875,0.10144025179821578,0.16666666666649999,0.5999999999993999,1.0,0.2594216047843169
BASICITY_PROXY,0.04632748230083639,0.2505136584973887,2.046231943934456e-72,0.09425303465175847,0.0004006481764749677,1,0.0,0.4,True,0.38207419472992055,0.0833075744322669,0.053088018719730054,0.0,0.3999999999996,1.0,0.24875562656132655
DOLO_X_LIME,0.028823436645592615,-0.0007370339719645532,0.9584465042448197,0.09225953478948874,0.0003962674844977994,1,0.0,0.5,False,0.2377140047067669,0.08154557664863744,0.053039505141886226,0.0,0.49999999999949996,1.0,0.24165139589636236
SCRAP_DOMINANCE,0.10906568071205669,0.33480993382461416,3.1019435072465505e-131,0.365837475214751,-0.00234145522047724,5,0.0,0.0,False,0.8994916205488974,0.32335333084150053,0.02272084218752897,0.0,0.0,0.2,0.2288776728016343
BUCKET_X_DRI,0.09565313954582955,0.37675468952816865,2.1447768269129397e-168,0.05073682416507427,-0.0017891320459481423,2,0.0,0.3,False,0.788875079116953,0.044844834664534636,0.028837495324093076,0.0,0.29999999999969995,0.5,0.2231671124555441
VIRGIN_TO_SCRAP_RATIO,0.09987377696081401,0.3845781506238362,5.787733361384152e-176,0.11822088529974292,-0.004318417388366062,3,0.0,0.3,False,0.8236837188592436,0.10449207537927349,0.0008271531251507065,0.0,0.29999999999969995,0.3333333333333333,0.21865053110818666
BURDEN_IMBALANCE,0.0378772898091535,0.22800011706081422,5.692543843125503e-60,0.07223049015770734,0.0031683755165403302,1,0.0,0.2,True,0.3123833690855002,0.06384247422191686,0.08373896529679274,0.0,0.1999999999998,1.0,0.20956591697751853
CHARGE_SIZE_TC,0.033958453577921155,0.22584648085678846,7.547182567949666e-59,0.05567078136235523,0.003552547816935555,2,0.0,0.6,False,0.2800637582850768,0.04920581898696817,0.08799344675721117,0.0,0.5999999999993999,0.5,0.20476685069794967
FLUX_PER_SOLID_BURDEN,0.04247610370551502,-0.09706779745045802,6.058772472409456e-12,0.06079118134159235,-0.0007909325717480412,1,0.0,0.1,False,0.35031092372261835,0.05373159477731102,0.03989196529086257,0.0,0.0999999999999,1.0,0.18895793031076374
SLAG_CHEMISTRY_PROXY,0.029446092300492666,-0.10260917090520097,3.5171278126116736e-13,0.0666479488173166,0.001812092166746863,1,0.0,0.1,True,0.24284919975999933,0.058908224837224694,0.0687189277749979,0.0,0.0999999999999,1.0,0.17989822172817638
HM_TO_DRI_RATIO,0.03582232824284315,0.2041996679352377,3.277454159233777e-48,0.07059292886634423,0.004577917646896597,3,0.0,0.5,False,0.2954355932372368,0.06239508040938155,0.09934881237611115,0.0,0.49999999999949996,0.3333333333333333,0.17859339537257474
DOLO_X_DRI,0.026761042391734158,-0.10182490031225262,5.311888430903579e-13,0.0602388389000958,0.001752131155804526,1,0.0,0.1,False,0.22070492964756905,0.05324339501560483,0.06805489497216521,0.0,0.0999999999999,1.0,0.17502756719534035
HM_OXY_COORDINATION,0.0010214051063739404,-0.14524214577451222,5.582148412797524e-25,0.0651272140988653,0.0011030793442154223,1,0.0,0.3,True,0.008423780316328707,0.057564090707037815,0.06086702927644479,0.0,0.29999999999969995,1.0,0.17282799557933842
FOAM_SLAG_PROXY,0.02078314388046021,0.2062609432489105,3.569386210622326e-49,0.1458054207512725,0.00038122627326031555,1,0.0,0.0,True,0.17140372339939464,0.12887326107582264,0.05287293260584894,0.0,0.0,1.0,0.16850346029992036
BUCKET_SQ,0.10683275025845385,0.3502312467388995,3.0326435378707223e-144,0.01687043359464574,-0.0008671895945220331,5,0.0,0.1,False,0.8810760913084315,0.014911296040316354,0.03904746377608681,0.0,0.0999999999999,0.2,0.16727015903296494
HM_FRAC,0.037612356433606386,-0.1989190333458938,8.609233202541219e-46,0.05448727888207038,-0.0023003138073630267,1,0.0,0.0,False,0.3101983980684713,0.048159754832838964,0.023176459053111848,0.0,0.0,1.0,0.16320499022898854
BUCKET_X_HM,0.10316978159847157,0.35552331175605373,7.002430072560952e-149,0.058866426333047006,-0.0007368459122039465,4,0.0,0.0,False,0.850866683596707,0.0520303586130781,0.04049094311942955,0.0,0.0,0.25,0.16302149510235944
BUCKET_UTILIZATION,0.11509866077542386,0.3369397257330724,5.4792369951345315e-133,0.019521152032666824,0.00017655589342509734,7,0.0,0.0,True,0.9492470979686376,0.017254190615438703,0.050606328960531674,0.0,0.0,0.14285714285714285,0.15886269446778992
SCRAP_FRAC,0.10601149603872617,0.34035789473477623,7.875157172212667e-136,0.0062839850720386795,5.376715307773653e-05,4,0.0,0.0,False,0.8743030048144708,0.005554235532620588,0.04924651614003799,0.0,0.0,0.25,0.1566690271190313
