Source,Target,Spearman,PartialCorr,AbsPartial,Direct_vs_indirect
LIQUID_METAL_DOMINANCE,SOLID_BURDEN_RATIO,-0.9999999998273994,0.9999999999996173,0.9999999999996173,likely_direct
OXYGEN_EXCESS_INDEX,HM_OXY_COORDINATION,0.9833838784172784,0.9967802319484496,0.9967802319484496,likely_direct
FLUX_SATURATION_INDEX,SLAG_CHEMISTRY_PROXY,0.8269634915319741,0.9621460049599284,0.9621460049599284,likely_direct
FOAM_SLAG_PROXY,CHEMICAL_ENERGY_PROXY,0.9919085784599682,0.9597827440478846,0.9597827440478846,likely_direct
BUCKET_UTILIZATION,HM_DRI_SCRAP_PRODUCT,0.8688514912134506,0.9481700589957046,0.9481700589957046,likely_direct
OXYGEN_PER_TONNE,HM_X_OXY_NORM,0.6359934863519197,0.9369445250892963,0.9369445250892963,likely_direct
LIQUID_METAL_DOMINANCE,SOLID_BURDEN_COMPACTNESS,-0.9332686094572805,-0.8996410413380473,0.8996410413380473,likely_direct
SOLID_BURDEN_COMPACTNESS,SOLID_BURDEN_RATIO,0.9332685564374176,0.8996410413380189,0.8996410413380189,likely_direct
BURDEN_ENTROPY,CHARGE_DIVERSITY_INDEX,0.996228434443708,0.8901139094224935,0.8901139094224935,likely_direct
DRI_UTILIZATION,BUCKET_UTILIZATION,-0.8737201881145333,-0.8601656367330567,0.8601656367330567,likely_direct
SOLID_BURDEN_COMPACTNESS,HM_X_OXY_NORM,-0.35457602921894915,0.8581310278987396,0.8581310278987396,likely_direct
CHARGE_DIVERSITY_INDEX,DRI_UTILIZATION,-0.8068005857043338,-0.8557979064543432,0.8557979064543432,likely_direct
DRI_UTILIZATION,HM_DRI_SCRAP_PRODUCT,-0.7080295616190955,0.8310880617073021,0.8310880617073021,likely_direct
SOLID_BURDEN_RATIO,HM_X_OXY_NORM,-0.4873641878606389,-0.8297699717815171,0.8297699717815171,likely_direct
LIQUID_METAL_DOMINANCE,HM_X_OXY_NORM,0.48736435485615337,0.82976997178142,0.82976997178142,likely_direct
SOLID_BURDEN_COMPACTNESS,OXYGEN_PER_TONNE,0.05494036597851491,-0.8274320851196596,0.8274320851196596,likely_direct
BURDEN_SYMMETRY,BURDEN_IMBALANCE,-0.029417689353377036,-0.8177257924171591,0.8177257924171591,likely_direct
SOLID_BURDEN_RATIO,OXYGEN_PER_TONNE,0.12134562349145783,0.7968002660197595,0.7968002660197595,likely_direct
LIQUID_METAL_DOMINANCE,OXYGEN_PER_TONNE,-0.12134536008923147,-0.7968002660196584,0.7968002660196584,likely_direct
CARBON_EFFICIENCY,FOAM_SLAG_PROXY,0.942835234336628,0.7714900250975625,0.7714900250975625,likely_direct
CHARGE_DIVERSITY_INDEX,HM_DRI_SCRAP_PRODUCT,0.8149658725522708,0.7503192057269142,0.7503192057269142,likely_direct
BURDEN_ENTROPY,BURDEN_IMBALANCE,0.3377975254720528,0.7186688153517413,0.7186688153517413,likely_direct
CHARGE_DIVERSITY_INDEX,BUCKET_UTILIZATION,0.8383407524466475,-0.677022900006924,0.677022900006924,likely_direct
CHARGE_DIVERSITY_INDEX,BURDEN_IMBALANCE,0.3163583257359157,-0.6662092375159618,0.6662092375159618,likely_direct
BURDEN_IMBALANCE,DRI_UTILIZATION,-0.6300342098817637,-0.6391207160166666,0.6391207160166666,likely_direct
BURDEN_ENTROPY,DRI_UTILIZATION,-0.8177277849703051,0.594367038662551,0.594367038662551,likely_direct
CARBON_EFFICIENCY,CHEMICAL_ENERGY_PROXY,0.9037337368862204,-0.571775263972202,0.571775263972202,likely_direct
LIQUID_METAL_DOMINANCE,HM_UTILIZATION,0.9999999998798564,0.5008278963340458,0.5008278963340458,likely_direct
HM_UTILIZATION,SOLID_BURDEN_RATIO,-0.999999999864627,-0.5008278963337282,0.5008278963337282,likely_direct
BURDEN_ENTROPY,BURDEN_SYMMETRY,0.8739202593749144,0.47960452995376374,0.47960452995376374,likely_direct
BURDEN_SYMMETRY,DRI_UTILIZATION,-0.5677346020869202,-0.4761684078630423,0.4761684078630423,likely_direct
BURDEN_ENTROPY,HM_DRI_SCRAP_PRODUCT,0.8088055689553302,-0.4379724211943667,0.4379724211943667,likely_direct
CHEMICAL_ENERGY_PROXY,OXYGEN_PER_TONNE,0.42533052475201794,0.4228480657646836,0.4228480657646836,likely_direct
BUCKET_UTILIZATION,BASICITY_PROXY,0.5746013557788526,0.42224803913041736,0.42224803913041736,likely_direct
FLUX_SATURATION_INDEX,BASICITY_PROXY,0.09583793523664427,0.4168173505762669,0.4168173505762669,likely_direct
HM_UTILIZATION,BUCKET_UTILIZATION,-0.21523025263795656,-0.3968199910579854,0.3968199910579854,likely_direct
CHEMICAL_ENERGY_PROXY,HM_X_OXY_NORM,0.19819684329092954,-0.39622517573946486,0.39622517573946486,likely_direct
SLAG_CHEMISTRY_PROXY,BASICITY_PROXY,-0.10108396213851292,-0.3953169119954173,0.3953169119954173,likely_direct
CHARGE_DIVERSITY_INDEX,BURDEN_SYMMETRY,0.8890806523560277,-0.39255994267421473,0.39255994267421473,likely_direct
HM_UTILIZATION,BASICITY_PROXY,-0.07647544070650895,0.3822897653810039,0.3822897653810039,likely_direct
HM_UTILIZATION,HM_X_OXY_NORM,0.48736431998605273,-0.38162521410276734,0.38162521410276734,likely_direct
HM_UTILIZATION,HM_DRI_SCRAP_PRODUCT,-0.19533303535690869,0.37901055079544144,0.37901055079544144,likely_direct
FOAM_SLAG_PROXY,HM_X_OXY_NORM,0.15745689352965547,0.37410441285167273,0.37410441285167273,likely_direct
BASICITY_PROXY,HM_TO_DRI_RATIO,0.5435020083815544,-0.37110640363284236,0.37110640363284236,likely_direct
BASICITY_PROXY,HM_DRI_SCRAP_PRODUCT,0.43505456903452117,-0.3662997560237232,0.3662997560237232,likely_direct
HM_UTILIZATION,OXYGEN_PER_TONNE,-0.12134545367650013,0.36255829927756134,0.36255829927756134,likely_direct
BURDEN_ENTROPY,BUCKET_UTILIZATION,0.8423476222250792,0.3586647259395683,0.3586647259395683,likely_direct
CHARGE_DIVERSITY_INDEX,HM_UTILIZATION,-0.3253674875918717,-0.35792306306127725,0.35792306306127725,likely_direct
HM_UTILIZATION,FLUX_SATURATION_INDEX,0.3247704113378708,0.33654176617967074,0.33654176617967074,likely_direct
HM_UTILIZATION,DRI_UTILIZATION,-0.11334092640109132,-0.336197707190465,0.336197707190465,likely_direct
CHARGE_DIVERSITY_INDEX,LIQUID_METAL_DOMINANCE,-0.3253675277529122,-0.33543097541314504,0.33543097541314504,likely_direct
CHARGE_DIVERSITY_INDEX,SOLID_BURDEN_RATIO,0.3253675786716635,0.33543097541270367,0.33543097541270367,likely_direct
DRI_UTILIZATION,SOLID_BURDEN_RATIO,0.11334087060474005,0.330967513417427,0.330967513417427,likely_direct
