MAE,RMSE,R2,Bias,N,Feature_set,Model,Split,N_features
3.278594169108533,4.551538805883893,0.2700164066456612,-0.1560069420861937,2421,Phase25_LF_baseline,LightGBM,Random,56
3.232045439051867,4.48700787878551,0.2905688334281953,-0.15550683156108697,2421,Phase25_LF_baseline,CatBoost,Random,56
3.352987253976134,4.62828122284721,0.24519272233857847,-0.1080479533255765,2421,Phase25_LF_baseline,XGBoost,Random,56
3.342829228022987,4.595201340836916,0.2559438862365545,-0.08741041300844841,2421,Phase25_LF_baseline,Stacking,Random,56
3.718491148295233,4.91226670596222,0.1956011990406027,0.7116699493145722,2421,Phase25_LF_baseline,LightGBM,Temporal,56
3.6403115184457846,4.82799832252889,0.22296289260053825,0.6850703370760075,2421,Phase25_LF_baseline,CatBoost,Temporal,56
3.794674515911293,4.974523973030488,0.1750823531437773,0.7790967639543359,2421,Phase25_LF_baseline,XGBoost,Temporal,56
3.3712349060685893,4.569326973692524,0.2642994633810486,-0.15098217448433698,2421,Gold_only,LightGBM,Random,7
3.307416532026237,4.499967771050449,0.2864647937029132,-0.15983356152443218,2421,Gold_only,CatBoost,Random,7
3.483611728080488,4.727603950206336,0.21244884390873997,-0.14618169035314774,2421,Gold_only,XGBoost,Random,7
3.390637204956185,4.621147103923574,0.24751787694489236,-0.18742902867152117,2421,Gold_only,Stacking,Random,7
3.6550526659681903,4.89422127971924,0.20150033198094053,0.3627033974556909,2421,Gold_only,LightGBM,Temporal,7
3.595202372342887,4.822954932831013,0.22458545077611214,0.3748441706719527,2421,Gold_only,CatBoost,Temporal,7
3.786233191980601,5.07669566272592,0.1408484138014725,0.3752991707450051,2421,Gold_only,XGBoost,Temporal,7
3.3033118329717865,4.540613976691268,0.27351648671966355,-0.19031055577091063,2421,Gold_plus_Silver,LightGBM,Random,11
3.256641679945475,4.467613759370326,0.2966883047693848,-0.18054861719191267,2421,Gold_plus_Silver,CatBoost,Random,11
3.408245621609914,4.655386479457819,0.23632586522829602,-0.1487548596501498,2421,Gold_plus_Silver,XGBoost,Random,11
3.373943229218324,4.569575370492208,0.26421947320872596,-0.18647063784028858,2421,Gold_plus_Silver,Stacking,Random,11
3.730190060641992,4.945511587852979,0.1846764522773422,0.6773925785206999,2421,Gold_plus_Silver,LightGBM,Temporal,11
3.670596132114817,4.847928360498485,0.21653441354913805,0.6708923868218906,2421,Gold_plus_Silver,CatBoost,Temporal,11
3.830374913331843,5.072032809973273,0.14242591926599268,0.7439230626203559,2421,Gold_plus_Silver,XGBoost,Temporal,11
3.2880947921847405,4.548970320003263,0.2708400505181541,-0.15765977379705648,2421,Gold_plus_Phase24,LightGBM,Random,61
3.242592710692136,4.498087730750642,0.2870608845125293,-0.1629351019260736,2421,Gold_plus_Phase24,CatBoost,Random,61
3.3571296425606287,4.597424366910698,0.2552238062614237,-0.11352464296954666,2421,Gold_plus_Phase24,XGBoost,Random,61
3.368706769807987,4.632667487470881,0.2437613688271434,-0.11830884058368679,2421,Gold_plus_Phase24,Stacking,Random,61
3.70572311409887,4.898381319811603,0.2001423213036546,0.7080891486151378,2421,Gold_plus_Phase24,LightGBM,Temporal,61
3.6614534881284473,4.836305920284858,0.2202864767584518,0.7163221160483564,2421,Gold_plus_Phase24,CatBoost,Temporal,61
3.788907720982561,5.0002263147984065,0.1665359718597399,0.77423723670679,2421,Gold_plus_Phase24,XGBoost,Temporal,61
