Heat Number,TTT,KMeans,GMM,Hierarchical,DBSCAN,PC1,PC2,HM,DRI,Bucket,OXY,CPC,LIME,DOLO,T C
4515050,45.0,0,1,0,-1,-3.536933856155338,2.264994316085146,58.650000000000006,58.3,0.0,3492.0,0.0,10.3,1.1,116.95
4515051,40.0,1,1,0,-1,4.288905979771274,5.591266425838668,56.23,34.2,20.99,3242.0,0.0,8.8,0.3,111.42
4515052,46.0,0,0,0,0,-2.796198663932828,-0.8619270637210948,58.49,63.2,0.0,3514.0,537.0,11.2,0.2,121.69
4515053,42.0,1,1,1,1,5.283085638307146,3.131256731369993,58.77,39.6,19.61,3774.0,653.0,8.6,0.0,117.98
4515055,39.0,0,0,0,0,-2.678648609507698,2.910027713521548,57.69,54.4,0.0,3262.0,686.0,8.2,1.8,112.09
4515056,41.0,1,1,1,1,4.566924490566295,3.114861010976514,57.35,39.9,18.17,2761.0,609.0,8.3,1.7,115.42
4515057,42.0,0,0,0,0,-2.8749629093996156,-0.2761443022689678,57.23,59.8,0.0,3810.0,757.0,8.8,2.0,117.03
4515058,41.0,1,1,1,1,3.901485369734577,3.7288460031957866,60.71,43.3,15.85,2961.0,527.0,7.9,1.4,119.85999999999999
4515059,40.0,0,0,0,0,-2.5038217028421483,4.7987601078990085,66.4,57.0,0.0,3262.0,489.0,8.0,1.9,123.4
4515060,43.0,0,0,0,0,-3.4474670010727273,3.7567419876169876,67.03,58.2,0.0,3365.0,489.0,10.3,1.7,125.23
4515061,43.0,0,0,0,-1,-1.2200021863298924,-0.023816759106628643,62.96,66.4,0.0,3180.0,886.0,8.4,1.0,129.36
4515062,44.0,0,0,0,-1,-3.002856172112898,5.863575747575385,66.25,54.2,0.0,3727.0,866.0,9.6,0.8,120.45
4515063,42.0,1,1,1,-1,7.297150473519035,-1.8962851551397366,48.42,43.0,20.1,2988.0,1247.0,7.0,1.5,111.52000000000001
4515064,38.0,0,0,0,0,-2.8403252256974185,3.434656086685194,60.33,54.0,0.0,3499.0,862.0,9.0,1.3,114.33
4515065,41.0,0,0,0,0,-2.6172403033664375,0.07965705025946616,55.86,58.1,0.0,3882.0,816.0,8.6,1.5,113.96000000000001
4515066,41.0,0,0,0,0,-2.8205590466298167,-1.107659097479075,66.5,67.5,0.0,3734.0,821.0,11.0,1.7,134.0
4515067,41.0,0,0,0,0,-3.108526286746957,-1.0641966488667187,62.58,65.8,0.0,3561.0,622.0,10.8,1.6,128.38
4515068,42.0,1,1,1,1,5.799570288873633,-0.830211147008556,57.11,44.3,23.53,3246.0,659.0,9.6,1.3,124.94
4515069,40.0,1,1,1,1,3.7037781757373716,0.5352221752048569,59.14,49.5,14.52,3603.0,571.0,8.8,1.2,123.16
4515070,39.0,0,0,0,0,-3.045143033928039,2.299246649450193,61.44,58.0,0.0,3385.0,571.0,10.0,1.2,119.44
4515071,40.0,0,0,0,0,-2.9096868608992565,0.2620316782986116,61.52,61.2,0.0,3732.0,824.0,10.2,1.7,122.72
4515072,40.0,1,1,1,1,3.4717804264697887,0.3640471774585015,56.42,46.7,14.6,3501.0,755.0,9.4,1.2,117.72
4515073,40.0,0,0,0,-1,-2.7318713872867724,3.2420795974441368,65.37,57.3,0.0,3621.0,980.0,9.6,1.4,122.67
4515074,37.0,1,1,1,-1,3.909275249348069,4.90427448667726,57.15,35.1,17.78,3088.0,781.0,9.3,1.0,110.03
4515075,36.0,0,0,0,0,-2.876739685062078,0.4099350179740162,56.78,58.3,0.0,3150.0,818.0,9.8,1.2,115.08
4515076,37.0,1,1,1,-1,4.800770316221687,3.611016765730154,59.11,37.8,19.54,3172.0,896.0,8.8,1.4,116.44999999999999
4515077,44.0,0,0,0,-1,-4.035413588787354,6.769525353994219,61.61,50.0,0.0,3053.0,576.0,9.4,1.7,111.61
4515078,34.0,0,1,0,-1,-2.7834308490394277,3.4515748312238097,59.94,58.1,0.0,2826.0,0.0,9.0,1.3,118.03999999999999
4515079,45.0,1,1,1,1,4.557715637182854,0.512551873718504,60.41,46.1,18.99,3734.0,675.0,10.1,0.7,125.49999999999999
4515080,42.0,0,1,0,-1,-2.853132219690824,3.2094808185985095,57.94,57.1,0.0,3231.0,0.0,9.0,1.0,115.03999999999999
4515081,47.0,0,0,0,0,-3.1584738549922258,0.1115716264230478,57.52,60.3,0.0,3154.0,503.0,10.6,0.9,117.82
4515082,41.0,0,1,0,-1,-3.730203290910593,1.9505680668597805,60.14,60.1,0.0,3156.0,0.0,10.8,1.6,120.24000000000001
4515084,42.0,0,0,0,0,-2.418747320014543,-2.1930414546857824,57.83,68.1,0.0,3267.0,568.0,10.5,0.9,125.92999999999999
4515085,37.0,0,0,0,0,-2.5367430614245126,-0.9446085893395155,61.01,66.2,0.0,3372.0,598.0,10.5,0.9,127.21000000000001
4515086,37.0,0,0,0,0,-2.9365892356533596,1.5578911133638778,63.1,60.6,0.0,3633.0,473.0,10.5,0.9,123.7
4515089,43.0,1,1,1,1,4.343951982694186,-1.5691194724950779,55.71,45.5,20.0,3748.0,694.0,11.1,1.2,121.21000000000001
4515090,45.0,0,0,0,0,-3.076060422076058,0.5518078845409096,58.0,59.4,0.0,2756.0,611.0,9.9,1.7,117.4
4515091,50.0,1,1,1,-1,8.133111842544768,-2.1639297551942978,54.06,42.5,28.72,2904.0,929.0,8.6,0.8,125.28
4515092,43.0,1,1,1,-1,6.696856371203993,0.09665134384902464,56.59,43.5,20.99,3696.0,1106.0,7.8,0.8,121.08
4515093,46.0,0,0,0,-1,-2.500681247811802,-4.396494075118629,55.0,68.1,0.0,3871.0,1231.0,11.5,1.0,123.1
4515094,41.0,0,0,0,0,-2.8754042098024306,-3.682642939886637,53.91,66.4,0.0,3556.0,911.0,10.2,2.0,120.31
4515095,44.0,1,1,1,-1,6.425333188904649,-3.56072478213177,53.54,44.9,25.14,3733.0,911.0,9.9,2.0,123.58
4515096,39.0,1,1,1,-1,2.5264324256995874,4.839619630983022,57.01,37.7,15.74,3489.0,101.0,8.6,1.5,110.45
4515097,43.0,1,1,1,1,3.3387147465670024,0.5336619840246214,56.15,45.7,15.57,3540.0,541.0,9.6,1.1,117.41999999999999
4515098,34.0,0,0,0,0,-4.114023740516706,-1.4864774391731501,48.43,55.0,0.0,2958.0,768.0,10.4,1.9,103.43
4515099,34.0,0,0,0,-1,-3.391083181613142,-2.2067154932912274,39.36,50.4,0.0,2306.0,894.0,9.1,1.6,89.75999999999999
4515100,43.0,1,1,1,1,4.160434889543287,-0.28206005482823465,50.0,40.5,17.5,3469.0,646.0,9.4,1.6,108.0
4515101,43.0,1,1,1,1,4.073310312901743,4.573561450811272,56.14,35.0,18.5,3114.0,606.0,8.9,1.2,109.64
4515102,39.0,0,0,0,0,-2.542401106685352,1.098640493017162,61.88,60.7,0.0,2894.0,889.0,9.7,2.0,122.58000000000001
4515103,37.0,0,0,0,-1,-0.4477405869231309,3.5984230501538983,57.57,55.1,0.0,3098.0,995.0,4.8,2.0,112.67
4515104,45.0,0,0,1,-1,-0.4416969620633981,-2.7462923911477772,57.76,68.4,0.0,4224.0,1500.0,5.1,3.6,126.16
4515105,44.0,0,0,0,0,-4.932929743213518,0.6346928345386863,60.65,58.3,0.0,3716.0,304.0,11.7,2.6,118.94999999999999
4515106,47.0,0,0,0,-1,-2.839191442175499,-3.3102025154614663,61.97,70.2,0.0,4272.0,881.0,11.0,2.0,132.17000000000002
4515107,44.0,0,0,0,0,-2.6870296086980825,-0.9377127099875991,57.94,62.7,0.0,3188.0,892.0,9.6,1.9,120.64
4515108,42.0,0,0,0,0,-3.7207571023861696,-1.4498678758340957,61.5,63.6,0.0,3929.0,842.0,12.2,1.4,125.1
4515109,37.0,1,1,1,-1,7.287384822675981,3.280795204943681,56.18,32.8,26.2,3370.0,830.0,7.5,0.6,115.17999999999999
4515110,37.0,0,0,0,0,-2.8962076197789752,-1.8863060897222839,53.34,60.7,0.0,3534.0,930.0,10.4,1.0,114.04
4515111,42.0,1,1,1,-1,3.5475037028545895,3.298504422317199,67.12,47.7,14.1,3311.0,1101.0,9.7,1.1,128.92000000000002
4515112,37.0,0,0,0,0,-2.930863304908114,0.9446905607817879,59.69,60.1,0.0,3217.0,464.0,9.5,1.4,119.78999999999999
4515113,44.0,1,1,1,1,3.180286499635389,0.5023687660761705,55.85,47.1,15.01,3251.0,355.0,9.7,1.1,117.96000000000001
4515114,39.0,0,0,0,0,-3.2249482448476807,-0.166258239314243,62.05,63.5,0.0,3231.0,592.0,11.0,1.4,125.55
4515115,37.0,0,0,0,0,-3.0935486882948795,3.6835150229892095,68.53,59.0,0.0,3489.0,604.0,10.3,1.3,127.53
4515116,41.0,1,1,1,1,5.966111261772882,1.6204283865834914,58.77,40.2,24.24,3229.0,458.0,8.6,1.0,123.21
4515117,41.0,1,1,1,-1,2.589632750233865,5.583316041527842,66.5,45.1,12.2,3435.0,382.0,8.8,1.0,123.8
4515118,47.0,1,1,1,1,3.3954449631000627,0.4123740698567431,57.36,51.4,11.97,3174.0,507.0,9.2,0.8,120.72999999999999
4515119,43.0,0,0,0,-1,-3.160960186827279,6.57572044223115,72.99,57.1,0.0,3666.0,528.0,9.7,1.3,130.09
4515120,33.0,0,0,0,0,-2.67352447250023,1.300696498192135,58.48,58.7,0.0,2786.0,548.0,9.3,1.3,117.18
4515121,35.0,0,0,0,-1,-2.816294414462587,7.794482003316166,71.18,55.1,0.0,3253.0,460.0,9.0,0.9,126.28
4515123,30.0,0,0,0,0,-2.27679925618651,3.924631825115578,60.25,55.4,0.0,2978.0,433.0,8.7,0.7,115.65
4515124,38.0,0,0,0,0,-3.5757361211173695,-0.12007272004692582,59.1,60.8,0.0,3597.0,433.0,11.3,0.8,119.9
