Metric,Phase25,Phase26_baseline_rerun,Phase26_best,Best_config,Improvement_vs_P25
Random_MAE_LightGBM_Phase25_features,3.28289299155194,3.278594169108533,3.242592710692136,Gold_plus_Phase24/CatBoost,0.04030028085980408
Temporal_MAE_best,3.6403115184457846,3.6403115184457846,3.595202372342887,Gold_only/CatBoost,0.0451091461028974
