,BURDEN_ENTROPY,CHARGE_DIVERSITY_INDEX,BURDEN_SYMMETRY,BURDEN_IMBALANCE,LIQUID_METAL_DOMINANCE,SOLID_BURDEN_COMPACTNESS,HM_UTILIZATION,DRI_UTILIZATION,BUCKET_UTILIZATION,FLUX_SATURATION_INDEX,SLAG_CHEMISTRY_PROXY,BASICITY_PROXY,MGO_SATURATION_PROXY,FLUX_EFFICIENCY,CARBON_EFFICIENCY,FOAM_SLAG_PROXY,CHEMICAL_ENERGY_PROXY,OXYGEN_EXCESS_INDEX,HM_OXY_COORDINATION,HM_DRI_SCRAP_PRODUCT,SOLID_BURDEN_RATIO,HM_TO_DRI_RATIO,OXYGEN_PER_TONNE,BUCKET_X_CPC,HM_X_OXY_NORM,TTT
BURDEN_ENTROPY,1.0,0.8901139094224935,0.47960452995376374,0.7186688153517413,0.26303413408827153,0.1676367002167588,0.2389628105636978,0.594367038662551,0.3586647259395683,-0.12899204759535457,0.14238729715288684,0.06724501506567182,-0.01782678231391172,0.019048757845287253,0.030183946140960122,-0.0344323337093634,0.030480368844216003,-0.010758572238249645,0.010596545709858995,-0.4379724211943667,-0.2630341340879195,0.30930561496110054,0.0708256801461902,0.017547440388769146,-0.07084118249581021,0.02844598002874011
CHARGE_DIVERSITY_INDEX,0.8901139094224818,1.0,-0.39255994267421473,-0.6662092375159618,-0.33543097541314504,-0.23952020786883338,-0.35792306306127725,-0.8557979064543432,-0.677022900006924,0.09553380082428345,-0.10956206638335596,0.07710822268031596,0.0009592776357248669,-0.030451226271641235,-0.029943389188473835,0.044461700332283416,-0.03972226394594949,0.012030783049942411,-0.011597091795363758,0.7503192057269142,0.33543097541270367,-0.26514894459387267,-0.08723336354532715,-0.09200969960724079,0.08963300970927611,-0.0020428998571103358
BURDEN_SYMMETRY,0.4796045299537469,-0.39255994267420424,1.0,-0.8177257924171591,-0.2035668923882113,-0.04199896649135924,-0.11588873910159724,-0.4761684078630423,-0.2370141067371921,0.09601940945678562,-0.10502177249711762,-0.039352119912359755,-0.027091294056671752,-0.016816817109036944,-0.04201685663379538,0.016991759785576814,-0.005648393734744619,0.033928802687576996,-0.03302469685446275,0.09740427161209601,0.20356689238800452,-0.14348618331932816,-0.03574717252762395,0.0025020563322084416,0.023020772602298647,-0.01830454544459715
BURDEN_IMBALANCE,0.7186688153517318,-0.6662092375159594,-0.8177257924171685,1.0,-0.26606791242564626,-0.07688686809025999,-0.09721433756580102,-0.6391207160166666,-0.2842359844686433,0.015219490722034145,-0.02531561051339876,-0.06856773210502007,-0.01234638781717367,-0.03511728465733221,-0.035694109522919404,0.034896048634466874,-0.026025636752702842,0.022660657571087376,-0.02188096785932757,0.2556152467066505,0.26606791242534034,-0.22626776146598307,-0.02609388629521936,-0.09221123362213829,0.024337289053392556,-0.007415719679761393
LIQUID_METAL_DOMINANCE,0.26303413408756665,-0.33543097541223893,-0.2035668923878309,-0.26606791242506056,1.0,-0.8996410413380473,0.5008278963340458,-0.3309675134169498,-0.2869557009416813,0.08289336969881396,-0.0875006329637565,-0.20801401251175822,-0.011270436862371391,0.00981623996356926,-0.04889580741545647,-0.05079684330750075,0.08682824973904445,0.028193953318671208,-0.027924765059552055,0.2944040430194351,0.9999999999996173,-0.06540367079078763,-0.7968002660196584,-0.02331138771777406,0.82976997178142,-0.00991070440612696
SOLID_BURDEN_COMPACTNESS,0.16763670021670196,-0.2395202078687606,-0.041998966491328685,-0.0768868680902142,-0.8996410413383438,1.0,0.3235461023906046,-0.2260204449795815,-0.2808631593442151,0.04588299773478276,-0.052091192915012206,0.0025987041333562556,0.022004908177461122,0.004703712519513318,-0.10521381136605787,0.020840539196177895,0.016220164108312746,0.02020387409125318,-0.020305726808536703,0.2913911582337047,0.8996410413380189,0.060917647404973865,-0.8274320851196596,0.03687438705903124,0.8581310278987396,0.04933202504652223
HM_UTILIZATION,0.23896281056368812,-0.3579230630612867,-0.11588873910159037,-0.0972143375657954,0.5008278963337242,0.32354610239056153,1.0,-0.336197707190465,-0.3968199910579854,0.33654176617967074,-0.33062575416742457,0.3822897653810039,-0.005400348413346855,0.0710487541939833,0.051704170361573557,0.01695323901313995,-0.038658763330083085,-0.0243473564713776,0.025190144999702842,0.37901055079544144,-0.5008278963337282,0.012978400537059294,0.36255829927756134,-0.026321543739715028,-0.38162521410276734,0.04740101726702552
DRI_UTILIZATION,0.5943670386625439,-0.8557979064543453,-0.4761684078630528,-0.6391207160166725,-0.3309675134178671,-0.22602044497965892,-0.33619770719044534,1.0,-0.8601656367330567,-0.12037028739639415,0.11667303642678838,0.2667264488844554,-0.0069370626222897734,-0.04335248897839683,-0.031659611168575394,0.031118496331458596,-0.01915706591603811,0.023862432568889157,-0.023252448564016422,0.8310880617073021,0.330967513417427,-0.16276768873066214,-0.0838345338937334,-0.1353724761091616,0.07712746810457183,0.009820107517745268
BUCKET_UTILIZATION,0.358664725939568,-0.6770229000069322,-0.23701410673720077,-0.28423598446865217,-0.2869557009424944,-0.2808631593442857,-0.3968199910579643,-0.8601656367330639,1.0,-0.07199988411449934,0.05931856211669255,0.42224803913041736,-0.00611702795973065,-0.04735606855318463,-0.02445772947933637,0.007104801458146959,0.00228336318428235,0.02174075344450962,-0.021512621303254813,0.9481700589957046,0.2869557009421136,0.13121260632477905,-0.11004683853472254,0.013945497968159776,0.10210331956695771,0.011058259229281957
FLUX_SATURATION_INDEX,-0.12899204759527041,0.09553380082420268,0.09601940945673648,0.01521949072196326,0.08289336969877607,0.04588299773476357,0.3365417661796561,-0.12037028739645907,-0.0719998841145419,1.0,0.9621460049599284,0.4168173505762669,0.08098853768177726,-0.294315626894111,0.04181620372246428,-0.0788782346002058,0.08171970526409682,0.009544241199459926,-0.010977065112330708,0.05343992160478709,-0.08289336969878239,0.18154224218157353,0.03198058163402463,0.027572362290975788,-0.024322814078954084,-0.02814361782458928
