,BURDEN_ENTROPY,CHARGE_DIVERSITY_INDEX,BURDEN_SYMMETRY,BURDEN_IMBALANCE,LIQUID_METAL_DOMINANCE,SOLID_BURDEN_COMPACTNESS,HM_UTILIZATION,DRI_UTILIZATION,BUCKET_UTILIZATION,FLUX_SATURATION_INDEX,SLAG_CHEMISTRY_PROXY,BASICITY_PROXY,MGO_SATURATION_PROXY,FLUX_EFFICIENCY,CARBON_EFFICIENCY,FOAM_SLAG_PROXY,CHEMICAL_ENERGY_PROXY,OXYGEN_EXCESS_INDEX,HM_OXY_COORDINATION,HM_DRI_SCRAP_PRODUCT,SOLID_BURDEN_RATIO,HM_TO_DRI_RATIO,OXYGEN_PER_TONNE,BUCKET_X_CPC,HM_X_OXY_NORM,TTT
BURDEN_ENTROPY,1.0,0.996228434443708,0.8739202593749144,0.3377975254720528,-0.2959449167459391,0.2800734640697028,-0.2959448787972524,-0.8177277849703051,0.8423476222250792,-0.40541814251313474,-0.5163082800900923,0.5605966411925251,-0.12556214323575657,0.26190215924627985,0.08438962342918399,0.08035254949780303,0.07649620476195214,-0.08438910552220612,-0.13728560360253061,0.8088055689553302,0.2959449752891281,0.6782972810817164,0.006272006781145605,0.830649389842505,-0.19734125812597783,0.30926341245323424
CHARGE_DIVERSITY_INDEX,0.996228434443708,1.0,0.8890806523560277,0.3163583257359157,-0.3253675277529122,0.3081475943782739,-0.3253674875918717,-0.8068005857043338,0.8383407524466475,-0.41216452867194275,-0.5081225822137878,0.5505595492117951,-0.12318484628792035,0.2570243248917777,0.08627973567826804,0.08189196264926611,0.07748601702545926,-0.08627923501013064,-0.14383827405818417,0.8149658725522708,0.3253675786716635,0.6616923519914416,0.00443289586228897,0.8310556845291636,-0.2140920524248366,0.3109356545698511
BURDEN_SYMMETRY,0.8739202593749144,0.8890806523560277,1.0,-0.029417689353377036,-0.4671415548702603,0.44848337960417145,-0.467141529427678,-0.5677346020869202,0.5904825871943272,-0.3625256537671954,-0.32278996968996415,0.39601274297361966,-0.10981670986970417,0.1417731291389529,0.05945256110080375,0.06347446357675338,0.059240156417252894,-0.0594523205886144,-0.1404637029469777,0.681429375750857,0.4671415974386549,0.3929985233813659,0.01945091723267057,0.6366596495825668,-0.27058181534801945,0.2500416510268715
BURDEN_IMBALANCE,0.3377975254720528,0.3163583257359157,-0.029417689353377036,1.0,0.02748831530174635,-0.045810750106562825,0.027488314008282715,-0.6300342098817637,0.6646819060276862,-0.21909646182185258,-0.4636895424671816,0.42956092176275146,-0.05653383874312191,0.25908811146208766,0.07924918856168886,0.07464562470010937,0.07572665105453794,-0.0792486106361815,-0.06581568237792643,0.31662273837657984,-0.027488276138747707,0.6739496310572036,0.013308437748610687,0.5804578850899696,0.017388198717797846,0.2158531334626018
LIQUID_METAL_DOMINANCE,-0.2959449167459391,-0.3253675277529122,-0.4671415548702603,0.02748831530174635,1.0,-0.9332686094572805,0.9999999998798564,-0.1133409094093848,-0.21523023345586212,0.32477049220218346,-0.10020017281972968,-0.07647546201095898,0.06998640190885015,0.12040022108715509,-0.09205887414028434,-0.1276116030367394,-0.13017901997911172,0.0920583539722496,0.25092754483909147,-0.195332997071275,-0.9999999998273994,0.3241423761647346,-0.12134536008923147,-0.2802086888574661,0.48736435485615337,-0.19694019543776847
SOLID_BURDEN_COMPACTNESS,0.2800734640697028,0.3081475943782739,0.44848337960417145,-0.045810750106562825,-0.9332686094572805,1.0,-0.9332685963530601,0.10928108587664163,0.19386883718553438,-0.3639277479851201,0.04708776721853572,0.013273299317292547,-0.031009977716550334,-0.051203324878766575,0.05979974255096157,0.09541140634247029,0.07551843079328602,-0.05979894319843667,-0.20976898757667622,0.20935652516461103,0.9332685564374176,-0.3081416357957317,0.05494036597851491,0.2663110076626278,-0.35457602921894915,0.26603202957150024
HM_UTILIZATION,-0.2959448787972524,-0.3253674875918717,-0.467141529427678,0.027488314008282715,0.9999999998798564,-0.9332685963530601,1.0,-0.11334092640109132,-0.21523025263795656,0.3247704113378708,-0.10020025365535996,-0.07647544070650895,0.06998639766651413,0.12040032872955088,-0.09205875469509588,-0.12761153619497548,-0.13017896849874142,0.092058234545675,0.25092743639596665,-0.19533303535690869,-0.999999999864627,0.3241423941548998,-0.12134545367650013,-0.2802086760513144,0.48736431998605273,-0.19694019512115404
DRI_UTILIZATION,-0.8177277849703051,-0.8068005857043338,-0.5677346020869202,-0.6300342098817637,-0.1133409094093848,0.10928108587664163,-0.11334092640109132,1.0,-0.8737201881145333,0.3093637521693814,0.6576246294654827,-0.5919519719655797,0.0872542024504732,-0.3722334652513556,-0.07795402860627669,-0.05538905708009014,-0.04971559451481949,0.077953635726174,0.06004071586316266,-0.7080295616190955,0.11334087060474005,-0.9601972083208185,0.048916146235112735,-0.8232097374497362,-0.0047000497095930766,-0.27091247178643035
BUCKET_UTILIZATION,0.8423476222250792,0.8383407524466475,0.5904825871943272,0.6646819060276862,-0.21523023345586212,0.19386883718553438,-0.21523025263795656,-0.8737201881145333,1.0,-0.4312961824242226,-0.6105446059039887,0.5746013557788526,-0.09967803106791365,0.3444095881072602,0.13069921871217052,0.11334960035789686,0.10647010763745843,-0.13069891193022234,-0.16367303763390895,0.8688514912134506,0.2152302470455553,0.7826100249969188,-0.025932269392913723,0.942440186418245,-0.16869504721138207,0.3356533418536796
FLUX_SATURATION_INDEX,-0.40541814251313474,-0.41216452867194275,-0.3625256537671954,-0.21909646182185258,0.32477049220218346,-0.3639277479851201,0.3247704113378708,0.3093637521693814,-0.4312961824242226,1.0,0.8269634915319741,0.09583793523664427,0.056728853542329226,-0.8770532158983714,-0.15494077101706225,-0.05202752204303871,-0.007011237174797297,0.15494224276165602,0.20705430333252314,-0.40388536452666585,-0.32477025741445387,-0.21792293570514992,0.3269517022820378,-0.4398831031668353,0.39464303483456,-0.09455349832185021
SLAG_CHEMISTRY_PROXY,-0.5163082800900923,-0.5081225822137878,-0.32278996968996415,-0.4636895424671816,-0.10020017281972968,0.04708776721853572,-0.10020025365535996,0.6576246294654827,-0.6105446059039887,0.8269634915319741,1.0,-0.10108396213851292,0.04946687998092991,-0.9334240685551232,-0.12938241054143623,-0.02126779549314809,0.020344855320393766,0.12938362596955322,0.10996245801576039,-0.5194466176603749,0.10020039044693653,-0.6501730828941383,0.3356164524361184,-0.5743775357847007,0.15644753124208327,-0.1023142143005698
BASICITY_PROXY,0.5605966411925251,0.5505595492117951,0.39601274297361966,0.42956092176275146,-0.07647546201095898,0.013273299317292547,-0.07647544070650895,-0.5919519719655797,0.5746013557788526,0.09583793523664427,-0.10108396213851292,1.0,-0.693064788091554,-0.1508231571323875,0.04353799244799417,0.08289287240048564,0.10490165728922213,-0.043537392639796786,-0.056273347773105935,0.43505456903452117,0.0764755724934371,0.5435020083815544,0.1661729365885044,0.5428078114125315,-0.002680306950634288,0.24858314605775728
MGO_SATURATION_PROXY,-0.12556214323575657,-0.12318484628792035,-0.10981670986970417,-0.05653383874312191,0.06998640190885015,-0.031009977716550334,0.06998639766651413,0.0872542024504732,-0.09967803106791365,0.056728853542329226,0.04946687998092991,-0.693064788091554,1.0,-0.020790543917050475,-0.04532012373736966,-0.033501567564768825,-0.03556062668551494,0.04532082031838461,0.056581372490295614,-0.0732179098796618,-0.06998645629834839,-0.06877632056222027,0.006048956706832413,-0.1080596133655288,0.1027216498938655,-0.06055666220820446
FLUX_EFFICIENCY,0.26190215924627985,0.2570243248917777,0.1417731291389529,0.25908811146208766,0.12040022108715509,-0.051203324878766575,0.12040032872955088,-0.3722334652513556,0.3444095881072602,-0.8770532158983714,-0.9334240685551232,-0.1508231571323875,-0.020790543917050475,1.0,0.12185139885119588,-0.006179462256523367,-0.05623465850812717,-0.12185314973574332,-0.09913836119234648,0.31405688225454587,-0.12040048912081693,0.383496985209966,-0.4101725982281426,0.32329052916775597,-0.18037248649382776,-0.006942191118365091
CARBON_EFFICIENCY,0.08438962342918399,0.08627973567826804,0.05945256110080375,0.07924918856168886,-0.09205887414028434,0.05979974255096157,-0.09205875469509588,-0.07795402860627669,0.13069921871217052,-0.15494077101706225,-0.12938241054143623,0.04353799244799417,-0.04532012373736966,0.12185139885119588,1.0,0.942835234336628,0.9037337368862204,-0.9999999985955048,-0.9833838762669587,0.10130461570687858,0.09205886089374332,0.04860471412225134,0.04035463823016253,0.29800579429771956,-0.06337697285717403,0.11670351937371178
FOAM_SLAG_PROXY,0.08035254949780303,0.08189196264926611,0.06347446357675338,0.07464562470010937,-0.1276116030367394,0.09541140634247029,-0.12761153619497548,-0.05538905708009014,0.11334960035789686,-0.05202752204303871,-0.02126779549314809,0.08289287240048564,-0.033501567564768825,-0.006179462256523367,0.942835234336628,1.0,0.9919085784599682,-0.9428342829660329,-0.9352518475913142,0.07818568521241116,0.12761166592622333,0.019956932855283167,0.3335982586001138,0.28768983899613176,0.15745689352965547,0.20454334621518233
CHEMICAL_ENERGY_PROXY,0.07649620476195214,0.07748601702545926,0.059240156417252894,0.07572665105453794,-0.13017901997911172,0.07551843079328602,-0.13017896849874142,-0.04971559451481949,0.10647010763745843,-0.007011237174797297,0.020344855320393766,0.10490165728922213,-0.03556062668551494,-0.05623465850812717,0.9037337368862204,0.9919085784599682,1.0,-0.9037325911050366,-0.897994304366036,0.06322321170189346,0.13017910813939487,0.014289268309408486,0.42533052475201794,0.27444633655422757,0.19819684329092954,0.2058508623081857
OXYGEN_EXCESS_INDEX,-0.08438910552220612,-0.08627923501013064,-0.0594523205886144,-0.0792486106361815,0.0920583539722496,-0.05979894319843667,0.092058234545675,0.077953635726174,-0.13069891193022234,0.15494224276165602,0.12938362596955322,-0.043537392639796786,0.04532082031838461,-0.12185314973574332,-0.9999999985955048,-0.9428342829660329,-0.9037325911050366,1.0,0.9833838784172784,-0.10130472475497514,-0.09205834072570858,-0.0486044728047656,-0.04035131038623732,-0.2980056222567038,0.06337990711473462,-0.11670157032520466
HM_OXY_COORDINATION,-0.13728560360253061,-0.14383827405818417,-0.1404637029469777,-0.06581568237792643,0.25092754483909147,-0.20976898757667622,0.25092743639596665,0.06004071586316266,-0.16367303763390895,0.20705430333252314,0.10996245801576039,-0.056273347773105935,0.056581372490295614,-0.09913836119234648,-0.9833838762669587,-0.9352518475913142,-0.897994304366036,0.9833838784172784,1.0,-0.1358667456677855,-0.25092752559963694,0.006022271098823114,-0.05936668675128294,-0.3386702706050641,0.14410749984771187,-0.14672899242422563
HM_DRI_SCRAP_PRODUCT,0.8088055689553302,0.8149658725522708,0.681429375750857,0.31662273837657984,-0.195332997071275,0.20935652516461103,-0.19533303535690869,-0.7080295616190955,0.8688514912134506,-0.40388536452666585,-0.5194466176603749,0.43505456903452117,-0.0732179098796618,0.31405688225454587,0.10130461570687858,0.07818568521241116,0.06322321170189346,-0.10130472475497514,-0.1358667456677855,1.0,0.19533294255953113,0.6199541556437277,-0.07057580824082514,0.8487870389150612,-0.15743530801322658,0.30000141271269853
