Heat Number,Date,Shift,HM,DRI,HBI,Bucket,LIME,DOLO,CPC,POWER,OXY,T C,TTT
4515050,2025-04-02 00:00:00,B,58.650000000000006,58.3,0.0,0.0,10.3,1.1,0.0,30109.0,3492.0,116.95,45.0
4515051,2025-04-02 00:00:00,B,56.23,34.2,0.0,20.99,8.8,0.3,0.0,29458.0,3242.0,111.42,40.0
4515052,2025-04-02 00:00:00,B,58.49,63.2,0.0,0.0,11.2,0.2,537.0,30515.0,3514.0,121.69,46.0
4515053,2025-04-02 00:00:00,B,58.77,39.6,0.0,19.61,8.6,0.0,653.0,32981.0,3774.0,117.98,42.0
4515055,2025-04-03 00:00:00,C,57.69,54.4,0.0,0.0,8.2,1.8,686.0,32120.0,3262.0,112.09,39.0
4515056,2025-04-03 00:00:00,C,57.35,39.9,0.0,18.17,8.3,1.7,609.0,35569.0,2761.0,115.42000000000002,41.0
4515057,2025-04-03 00:00:00,C,57.23,59.8,0.0,0.0,8.8,2.0,757.0,32504.0,3810.0,117.03,42.0
4515058,2025-04-03 00:00:00,C,60.71,43.3,0.0,15.85,7.9,1.4,527.0,30939.0,2961.0,119.86,41.0
4515059,2025-04-03 00:00:00,C,66.4,57.0,0.0,0.0,8.0,1.9,489.0,32340.0,3262.0,123.4,40.0
4515060,2025-04-03 00:00:00,C,67.03,58.2,0.0,0.0,10.3,1.7,489.0,31325.0,3365.0,125.23,43.0
4515061,2025-04-03 00:00:00,C,62.96,66.4,0.0,0.0,8.4,1.0,886.0,33014.0,3180.0,129.36,43.0
4515062,2025-04-03 00:00:00,C,66.25,54.2,0.0,0.0,9.6,0.8,866.0,31178.0,3727.0,120.45,44.0
4515063,2025-04-03 00:00:00,C,48.42,43.0,0.0,20.1,7.0,1.5,1247.0,33965.0,2988.0,111.52,42.0
4515064,2025-04-03 00:00:00,C,60.33,54.0,0.0,0.0,9.0,1.3,862.0,28530.0,3499.0,114.33,38.0
4515065,2025-04-03 00:00:00,C,55.86,58.1,0.0,0.0,8.6,1.5,816.0,26981.0,3882.0,113.96,41.0
4515066,2025-04-03 00:00:00,C,66.5,67.5,0.0,0.0,11.0,1.7,821.0,35966.0,3734.0,134.0,41.0
4515067,2025-04-03 00:00:00,A,62.58,65.8,0.0,0.0,10.8,1.6,622.0,37011.0,3561.0,128.38,41.0
4515068,2025-04-03 00:00:00,A,57.11,44.3,0.0,23.53,9.6,1.3,659.0,37948.0,3246.0,124.94,42.0
4515069,2025-04-03 00:00:00,A,59.14,49.5,0.0,14.52,8.8,1.2,571.0,34607.0,3603.0,123.16,40.0
4515070,2025-04-03 00:00:00,A,61.44,58.0,0.0,0.0,10.0,1.2,571.0,32502.0,3385.0,119.44,39.0
4515071,2025-04-03 00:00:00,A,61.52,61.2,0.0,0.0,10.2,1.7,824.0,34881.0,3732.0,122.72,40.0
4515072,2025-04-03 00:00:00,A,56.42,46.7,0.0,14.6,9.4,1.2,755.0,34760.0,3501.0,117.72,40.0
4515073,2025-04-03 00:00:00,A,65.37,57.3,0.0,0.0,9.6,1.4,980.0,34554.0,3621.0,122.67,40.0
4515074,2025-04-03 00:00:00,A,57.15,35.1,0.0,17.78,9.3,1.0,781.0,30367.0,3088.0,110.03,37.0
4515075,2025-04-03 00:00:00,A,56.78,58.3,0.0,0.0,9.8,1.2,818.0,34928.0,3150.0,115.08,36.0
4515076,2025-04-03 00:00:00,A,59.11,37.8,0.0,19.54,8.8,1.4,896.0,32527.0,3172.0,116.45,37.0
4515077,2025-04-03 00:00:00,A,61.61,50.0,0.0,0.0,9.4,1.7,576.0,32427.0,3053.0,111.61,44.0
4515078,2025-04-03 00:00:00,A,59.94,58.1,0.0,0.0,9.0,1.3,0.0,31698.0,2826.0,118.04,34.0
4515079,2025-04-03 00:00:00,B,60.41,46.1,0.0,18.99,10.1,0.7,675.0,38282.0,3734.0,125.5,45.0
4515080,2025-04-03 00:00:00,B,57.94,57.1,0.0,0.0,9.0,1.0,0.0,30132.0,3231.0,115.04,42.0
4515081,2025-04-03 00:00:00,B,57.52,60.3,0.0,0.0,10.6,0.9,503.0,34803.0,3154.0,117.82,47.0
4515082,2025-04-03 00:00:00,B,60.14,60.1,0.0,0.0,10.8,1.6,0.0,35766.0,3156.0,120.24,41.0
4515083,2025-04-03 00:00:00,B,62.440000000000005,59.9,0.0,0.0,9.6,1.0,983.0,39464.0,4242.0,122.34,103.0
4515084,2025-04-03 00:00:00,B,57.83,68.1,0.0,0.0,10.5,0.9,568.0,35825.0,3267.0,125.93,42.0
4515085,2025-04-03 00:00:00,B,61.01,66.2,0.0,0.0,10.5,0.9,598.0,34471.0,3372.0,127.21,37.0
4515086,2025-04-03 00:00:00,B,63.1,60.6,0.0,0.0,10.5,0.9,473.0,36113.0,3633.0,123.7,37.0
4515089,2025-04-03 00:00:00,B,55.71,45.5,0.0,20.0,11.1,1.2,694.0,38402.0,3748.0,121.21,43.0
4515090,2025-04-04 00:00:00,C,58.0,59.4,0.0,0.0,9.9,1.7,611.0,33570.0,2756.0,117.4,45.0
4515091,2025-04-04 00:00:00,C,54.06,42.5,0.0,28.72,8.6,0.8,929.0,43734.0,2904.0,125.28,50.0
4515092,2025-04-04 00:00:00,C,56.59,43.5,0.0,20.99,7.8,0.8,1106.0,36796.0,3696.0,121.08,43.0
4515093,2025-04-04 00:00:00,C,55.0,68.1,0.0,0.0,11.5,1.0,1231.0,39209.0,3871.0,123.1,46.0
4515094,2025-04-04 00:00:00,C,53.91,66.4,0.0,0.0,10.2,2.0,911.0,35424.0,3556.0,120.31,41.0
4515095,2025-04-04 00:00:00,C,53.54,44.9,0.0,25.14,9.9,2.0,911.0,38616.0,3733.0,123.58,44.0
4515096,2025-04-04 00:00:00,C,57.01,37.7,0.0,15.74,8.6,1.5,101.0,33607.0,3489.0,110.45,39.0
4515097,2025-04-04 00:00:00,C,56.15,45.7,0.0,15.57,9.6,1.1,541.0,38475.0,3540.0,117.42,43.0
4515098,2025-04-04 00:00:00,C,48.43,55.0,0.0,0.0,10.4,1.9,768.0,30366.0,2958.0,103.43,34.0
